Printing round-trip times in us, statistics for 10000 samples
   Bytes, Samples,   stdev,    mean,     min,     50%,     90%,     99%,  99.99%,     max
--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,
      16,   10000,   28.00,  147.24,  113.01,  137.40,  184.13,  237.79,  603.59,  679.49 
      32,   10000,   23.00,  141.76,  109.20,  132.08,  177.42,  221.78,  384.00,  395.46 
      64,   10000,   28.00,  148.82,  104.88,  140.72,  188.90,  225.70,  507.93,  622.82 
     128,   10000,   25.00,  140.99,  108.14,  131.51,  176.33,  228.99,  382.64,  458.88 
     256,   10000,   28.00,  144.49,  107.29,  132.61,  181.85,  235.92,  301.18, 1014.67 
     512,   10000,   46.00,  156.00,  113.92,  138.22,  208.92,  266.29,  976.26, 2125.48 
    1024,   10000,   30.00,  150.62,  111.98,  136.15,  186.89,  242.53,  299.36,  615.39 
    2048,   10000,   30.00,  156.85,  119.08,  147.19,  193.90,  245.76,  445.71, 1011.99 
    4096,   10000,   29.00,  168.34,  127.49,  162.19,  204.48,  273.64,  432.62,  894.61 
    8192,   10000,   36.00,  189.87,  141.02,  181.28,  233.24,  285.88,  463.30, 1650.35 
   16384,   10000,   46.00,  221.27,  171.32,  216.49,  280.76,  320.98,  562.57, 2250.51
