Printing round-trip times in us, statistics for 10000 samples
   Bytes, Samples,   stdev,    mean,     min,     50%,     90%,     99%,  99.99%,     max
--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,
      16,   10000,   97.00,  199.50,  156.53,  192.93,  223.21,  289.31, 4414.61, 6003.82 
      32,   10000,   82.00,  198.47,  158.33,  192.33,  227.49,  263.98, 4206.59, 6278.56 
      64,   10000,   30.00,  200.24,  153.85,  194.34,  233.09,  275.36,  900.77, 1879.01 
     128,   10000,   31.00,  199.22,  162.75,  194.81,  219.46,  264.11, 1411.14, 2111.81 
     256,   10000,   29.00,  196.74,  151.06,  192.78,  218.11,  255.42, 1189.10, 2002.45 
     512,   10000,   26.00,  197.24,  157.39,  193.08,  219.25,  273.58,  805.70, 1496.68 
    1024,   10000,   78.00,  205.36,  160.99,  197.94,  235.47,  284.72, 3928.99, 4892.95 
    2048,   10000,   43.00,  207.66,  162.55,  202.39,  237.06,  277.17,  718.75, 3977.08 
    4096,   10000,   23.00,  213.83,  174.67,  208.77,  242.47,  287.85,  671.08,  796.84 
    8192,   10000,   36.00,  231.68,  192.77,  226.97,  257.74,  299.65, 1431.41, 2729.27 
   16384,   10000,   28.00,  262.99,  220.90,  256.38,  296.68,  327.83,  720.86, 1195.77
